X;Y;Z
32767;6480;-18000
528;384;-672
240;96;-384
480;-48;-384
192;96;-240
-48;0;-528
528;48;-240
-48;288;-528
288;240;-624
432;96;-528
288;-48;-240
624;-48;-576
96;96;-240
288;144;-384
240;144;-192
336;144;-384
96;-48;0
288;-192;-432
96;0;-384
288;144;-240
624;-48;-384
672;-96;-384
288;144;-480
336;144;-528
336;96;-192
480;288;-384
384;-48;-720
144;384;-432
432;144;-480
528;240;-288
432;144;-432
480;-48;-192
48;144;-288
384;0;-720
288;-48;-528
336;144;-480
336;144;-144
144;-192;-192
240;144;-384
384;192;-432
144;-48;-192
144;96;-288
288;336;-384
144;-96;-432
528;96;-240
-48;48;-576
288;288;-576
192;144;-528
576;192;-192
528;0;-192
336;96;-288
480;-192;-288
336;-48;-336
288;-96;-384
528;48;-672
384;192;-192
432;240;-432
288;-240;-240
192;-48;-432
144;192;-576
384;240;-336
672;-144;-624
432;48;-624
384;288;-432
-48;288;-480
336;-48;-336
192;384;-576
240;240;-432
96;192;-720
528;-48;-624
240;192;-576
384;336;-528
480;-48;-432
240;-96;-384
480;-96;-384
384;-48;-816
480;-48;-912
192;96;-240
96;-192;-336
336;96;-432
384;96;-288
96;192;-432
624;48;-576
192;96;-576
240;-48;-384
240;192;-576
384;-144;-624
144;144;-384
384;48;-672
624;-240;-528
288;-48;-192
384;-96;-624
576;288;-336
48;336;-384
288;-48;-432
336;-48;-288
336;96;-528
432;288;-576
336;240;-384
384;0;-336
480;96;-432
480;0;-384
480;144;-624
336;-240;-480
528;96;-192
336;48;-720
624;192;-192
144;192;-480
576;96;48
384;96;-528
384;-192;-336
144;-48;-624
384;-48;-288
288;240;-480
144;-48;-624
384;-336;-192
432;192;-528
432;144;-288
336;240;-336
624;-48;-576
480;288;-912
240;-48;-432
384;336;-432
576;-48;-288
240;-48;-240
288;48;-576
240;-48;-336
720;-288;-576
336;144;-576
240;-48;-336
240;336;-288
144;-48;-624
336;240;-144
288;-48;-336
528;-240;-528
336;240;-192
432;432;-288
240;-144;-528
336;-48;-672
480;-96;-384
576;-48;-240
576;-48;-528
480;48;-432
384;-48;-192
432;-48;-624
144;-48;-384
480;-48;-96
240;48;-576
480;-48;-528
336;-144;-336
192;288;-768
576;240;-480
384;144;-480
432;-48;-624
384;192;-576
528;-48;-624
432;144;-384
336;-48;-240
192;48;-384
528;96;-672
480;192;-528
432;-48;-624
576;144;-288
480;-48;-720
528;-48;-192
384;-48;-432
384;-48;-432
528;192;-624
240;96;-432
144;-48;-240
432;0;-720
432;144;-336
240;-48;-624
432;-48;-576
144;192;-480
384;-144;-336
480;96;-720
384;144;-768
192;48;-384
336;-48;-336
480;-48;-528
576;144;-288
288;-48;-768
336;384;-768
480;384;-480
240;-48;-576
480;48;-336
528;192;-816
384;-48;-528
288;144;-480
384;-48;-336
480;-48;-480
144;384;-240
432;-48;-480
240;240;-576
528;96;-528
336;240;-624
480;192;-288
384;-48;-480
528;288;-336
528;-48;-288
288;0;-720
432;288;-528
336;-144;-576
