X;Y;Z
444;542;-746
445;541;-746
446;540;-744
445;537;-743
446;532;-745
445;530;-749
446;528;-751
447;527;-748
448;525;-745
448;524;-743
448;519;-742
449;516;-740
448;513;-738
449;510;-736
449;509;-734
447;510;-730
447;512;-729
449;514;-725
451;516;-723
454;519;-719
455;523;-715
456;530;-709
458;535;-708
458;539;-707
458;543;-710
455;544;-710
453;547;-709
450;549;-710
448;549;-708
447;550;-707
446;551;-707
446;550;-706
446;550;-704
446;551;-704
445;553;-704
443;552;-706
444;549;-707
442;547;-705
441;545;-703
439;543;-706
441;540;-705
439;541;-706
438;542;-700
437;542;-696
435;543;-692
434;541;-692
432;539;-692
432;538;-691
432;535;-692
433;531;-691
434;529;-689
433;530;-686
437;529;-683
438;532;-682
438;533;-680
437;536;-675
438;537;-676
439;538;-677
441;536;-676
442;539;-676
445;541;-678
446;542;-679
447;542;-682
448;544;-681
450;547;-685
452;549;-688
454;551;-689
455;551;-691
456;550;-692
457;550;-694
459;549;-695
460;546;-695
461;541;-694
461;536;-696
461;530;-699
460;528;-704
461;525;-704
461;526;-705
461;528;-706
461;528;-706
461;531;-708
463;533;-706
464;535;-706
466;535;-706
464;534;-704
464;535;-705
463;536;-702
462;536;-701
463;537;-701
464;539;-701
464;539;-699
466;540;-699
468;540;-699
466;540;-698
465;541;-698
462;542;-698
462;544;-696
461;548;-695
458;551;-693
455;553;-691
453;555;-690
452;557;-688
450;559;-686
449;560;-687
450;558;-687
448;555;-688
446;555;-689
444;555;-691
442;554;-691
442;554;-695
440;556;-698
441;555;-701
444;556;-699
447;555;-699
447;555;-702
447;555;-702
447;556;-704
448;555;-704
448;555;-708
449;554;-708
452;552;-709
454;550;-711
456;549;-711
459;549;-711
461;548;-710
463;547;-709
464;547;-708
464;545;-707
465;543;-708
465;545;-706
465;545;-706
465;544;-707
466;544;-702
466;545;-698
465;545;-698
465;545;-699
464;543;-696
461;542;-695
459;542;-695
458;543;-692
458;541;-691
458;540;-688
459;541;-685
458;542;-684
457;543;-685
457;544;-683
459;546;-683
460;548;-681
462;549;-680
465;549;-678
466;550;-677
467;551;-675
466;551;-675
465;552;-675
464;551;-676
464;550;-676
465;548;-677
467;548;-676
465;548;-675
465;548;-678
466;547;-678
465;547;-683
467;547;-685
467;545;-683
468;545;-685
468;547;-686
469;548;-689
472;549;-690
475;550;-691
475;553;-692
475;554;-692
477;557;-694
478;560;-693
479;560;-694
478;560;-694
478;559;-695
476;559;-695
474;558;-696
473;556;-697
473;554;-697
471;554;-695
470;553;-698
470;553;-697
471;553;-695
468;554;-696
467;552;-697
467;551;-694
467;551;-692
467;548;-690
466;548;-688
466;549;-687
464;549;-686
463;549;-684
463;550;-682
461;550;-683
460;552;-683
460;552;-684
459;551;-680
459;551;-676
457;553;-674
455;554;-673
455;556;-674
455;556;-673
456;555;-673
456;552;-672
456;550;-675
457;549;-677
458;550;-677
457;549;-679
456;549;-680
456;548;-682
455;548;-685
456;547;-685
459;547;-683
461;546;-686
462;544;-686
462;543;-685
463;543;-687
462;544;-688
462;544;-685
462;545;-683
464;546;-685
464;547;-685
463;547;-685
461;546;-686
462;548;-687
462;551;-688
462;551;-688
461;552;-690
461;553;-691
462;555;-691
463;555;-691
464;555;-690
465;557;-689
465;559;-689
465;559;-689
465;559;-688
464;558;-688
464;559;-689
464;557;-688
464;554;-691
466;553;-690
467;551;-691
467;549;-691
467;550;-691
467;551;-691
467;552;-689
467;551;-686
467;552;-683
468;552;-683
469;552;-684
468;552;-686
467;551;-684
468;550;-685
468;550;-684
470;550;-682
470;548;-681
470;547;-682
471;547;-682
473;544;-681
474;543;-680
474;545;-682
474;544;-682
474;544;-680
474;546;-678
474;547;-678
476;548;-676
477;550;-673
479;551;-672
479;551;-674
478;552;-676
478;552;-677
477;552;-680
476;551;-681
475;550;-681
472;550;-682
470;550;-684
470;550;-685
468;549;-686
468;550;-688
468;550;-687
466;550;-688
466;551;-689
467;549;-689
468;547;-691
469;546;-690
470;545;-688
471;547;-685
474;548;-684
475;547;-683
472;546;-683
472;545;-683
469;546;-680
469;545;-680
471;545;-680
473;544;-679
475;544;-681
474;544;-679
474;542;-678
473;540;-678
471;539;-681
469;539;-682
467;542;-683
467;543;-681
467;545;-680
466;546;-680
465;545;-680
466;547;-683
467;548;-685
469;548;-686
470;549;-687
472;550;-686
473;550;-687
474;552;-687
473;553;-686
473;556;-686
472;557;-685
472;556;-685
471;553;-684
471;551;-685
471;551;-687
