X;Y;Z
-12;0;0
-11;0;0
-10;0;0
-9;0;0
-8;0;0
-7;0;0
-6;1;0
-5;1;0
-4;1;0
-3;1;0
-3;1;1
-2;1;1
-2;1;1
-1;1;2
-1;1;2
-1;1;3
0;1;3
0;1;4
0;1;4
0;1;5
-1;1;5
-1;0;6
-1;0;7
-1;0;7
-1;0;7
-1;0;8
-1;0;8
-1;-1;8
-1;-1;8
-2;-1;9
-1;-1;9
-1;-1;9
-2;-1;8
-1;-1;8
-1;0;8
-1;0;8
-1;0;8
-1;0;7
-2;0;7
-2;1;7
-2;1;6
-2;1;6
-2;1;6
-2;1;5
-2;2;5
-3;2;5
-3;2;5
-4;2;5
-4;2;5
-5;2;5
-5;3;5
-6;3;5
-6;3;5
-7;3;5
-7;3;5
-8;3;5
-8;3;5
-9;3;5
-9;4;6
-10;4;6
-10;4;6
-11;4;6
-11;4;6
-11;4;6
-12;5;5
-12;5;5
-12;5;5
-12;5;5
-12;5;5
-12;5;5
-12;5;4
-12;5;4
-12;5;4
-12;4;4
-12;4;4
-12;4;4
-12;4;4
-12;4;4
-12;3;4
-12;3;4
-12;3;5
-12;3;5
-12;3;5
-12;3;5
-12;2;6
-12;2;6
-12;2;6
-12;2;7
-12;2;7
-12;2;7
-12;2;8
-12;2;8
-12;2;8
-12;2;8
-12;2;8
-12;2;8
-12;2;8
-12;2;9
-13;2;8
-13;2;8
-13;2;8
-13;2;8
-13;2;8
-13;2;8
-12;2;8
-12;3;8
-12;3;8
-12;3;8
-12;3;7
-12;3;7
-12;3;7
-11;3;6
-11;3;6
-11;3;5
-11;3;5
-10;3;5
-10;3;4
-9;3;4
-9;3;4
-8;3;4
-8;3;4
-8;3;3
-7;3;3
-6;3;3
-6;3;3
-5;3;3
-5;3;3
-4;3;3
-4;3;4
-4;3;4
-3;3;4
-3;3;4
-3;3;4
-2;3;5
-2;4;5
-2;4;5
-1;4;5
-1;4;6
-1;4;6
-1;5;6
-1;5;6
-1;5;6
-1;5;6
-1;5;6
-1;5;6
-1;6;6
-1;6;6
-2;6;6
-2;6;6
-2;6;6
-2;6;6
-3;6;5
-3;6;5
-3;6;5
-4;5;5
-4;5;5
-4;5;4
-5;5;4
-5;4;4
-5;4;4
-5;4;3
-6;3;3
-6;3;3
-6;3;3
-6;2;3
