X;Y;Z
0;0;0
12;0;0
-25;5;-56
-25;5;-56
-25;5;-56
-25;5;-56
-25;5;-56
-25;5;-57
-25;5;-57
-25;5;-57
-25;5;-57
-26;5;-56
-26;5;-56
-26;5;-56
-26;5;-56
-26;5;-56
-27;3;-56
-27;3;-54
-27;3;-54
-27;3;-54
-27;3;-54
-29;5;-54
-29;5;-54
-29;5;-54
-29;5;-54
-29;5;-54
-27;5;-54
-27;5;-56
-27;5;-56
-27;5;-56
-27;5;-56
-27;5;-56
-27;5;-56
-27;5;-56
-27;5;-56
-27;5;-56
-27;5;-56
-27;4;-56
-27;4;-56
-27;4;-56
-27;4;-56
-27;4;-56
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-56
-27;4;-56
-27;4;-56
-27;4;-56
-26;4;-56
-26;4;-53
-26;4;-53
-26;4;-53
-26;4;-53
-26;4;-53
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-27;4;-55
-27;5;-53
-27;5;-53
-27;5;-53
-27;5;-53
-27;5;-53
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;6;-53
-27;6;-53
-27;6;-53
-27;6;-53
-27;6;-53
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-26;4;-54
-26;6;-55
-26;6;-55
-26;6;-55
-26;6;-55
-27;6;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-26;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;4;-53
-27;4;-53
-27;4;-53
-27;4;-53
-27;4;-53
-27;3;-54
-27;3;-54
-27;3;-54
-27;3;-54
-26;3;-54
-26;3;-55
-26;3;-55
-26;3;-55
-26;3;-55
-26;3;-55
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-26;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-28;5;-54
-28;5;-53
-28;5;-53
-28;5;-53
-28;5;-53
-27;5;-53
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-26;4;-54
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-54
-26;4;-54
-26;4;-54
-26;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-26;4;-54
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-26;3;-55
-26;3;-55
-26;3;-55
-26;3;-55
-27;3;-55
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;3;-56
-27;3;-56
-27;3;-56
-27;3;-56
-26;3;-56
-26;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-26;4;-53
-26;4;-53
-26;4;-53
-26;4;-53
-27;4;-53
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;3;-55
-27;3;-55
-27;3;-55
-27;3;-55
-27;3;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-52
-28;3;-52
-28;3;-51
-28;3;-51
-28;3;-51
-28;3;-51
-28;1;-51
-28;1;-52
-28;1;-52
-28;1;-52
-28;1;-52
-27;1;-52
-27;2;-52
-27;2;-52
-27;2;-52
-27;2;-52
-28;2;-52
-28;3;-52
-28;3;-52
-28;3;-52
-28;3;-52
-27;3;-52
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-29;3;-53
-29;2;-53
-29;2;-53
-29;2;-53
-29;2;-53
-27;2;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-28;3;-53
-28;3;-52
-28;3;-52
-28;3;-52
-28;3;-52
-27;3;-52
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-28;3;-53
-28;2;-52
-28;2;-52
-28;2;-52
-28;2;-52
-28;2;-52
-28;3;-51
-28;3;-51
-28;3;-51
-28;3;-51
-27;3;-51
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;2;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-54
-27;3;-54
-27;3;-54
-27;3;-54
-28;3;-54
-28;4;-54
-28;4;-54
-28;4;-54
-28;4;-54
-27;4;-54
-27;3;-54
-27;3;-54
-27;3;-54
-27;3;-54
-26;3;-54
-26;5;-55
-26;5;-55
-26;5;-55
-26;5;-55
-27;5;-55
-27;3;-54
-27;3;-54
-27;3;-54
-27;3;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;3;-54
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-54
-27;3;-54
-27;3;-54
-27;3;-54
-28;3;-54
-28;4;-54
-28;4;-54
-28;4;-54
-28;4;-54
-27;4;-54
-27;5;-53
-27;5;-53
-27;5;-53
-27;5;-53
-26;5;-53
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-27;4;-55
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-56
-27;4;-56
-27;4;-56
-27;4;-56
-26;4;-56
-26;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-27;5;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;3;-56
-27;3;-56
-27;3;-56
-27;3;-56
-27;3;-56
-27;3;-55
-27;3;-55
-27;3;-55
-27;3;-55
-27;3;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;3;-55
-27;3;-55
-27;3;-55
-27;3;-55
-27;3;-55
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-26;5;-54
-26;4;-54
-26;4;-54
-26;4;-54
-26;4;-54
-27;4;-54
-27;2;-55
-27;2;-55
-27;2;-55
-27;2;-55
-26;2;-55
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-27;4;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-54
-27;5;-55
-27;5;-55
-27;5;-55
-27;5;-55
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-26;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;4;-55
-27;3;-55
-27;3;-54
-27;3;-54
-27;3;-54
-27;3;-54
-26;3;-54
-26;3;-55
-26;3;-55
-26;3;-55
-26;3;-55
-27;3;-55
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-26;3;-53
-26;3;-53
-26;3;-53
-26;3;-53
-26;3;-53
-27;3;-53
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-54
-27;3;-54
-27;3;-54
-27;3;-54
-27;3;-54
-27;4;-54
-27;4;-54
-27;4;-54
-27;4;-54
-26;4;-54
-26;3;-54
-26;3;-54
-26;3;-54
-26;3;-54
-25;3;-54
-25;4;-53
-25;4;-53
-25;4;-53
-25;4;-53
-26;4;-53
-26;2;-54
-26;2;-54
-26;2;-54
-26;2;-54
-25;2;-54
-25;2;-53
-25;2;-53
-25;2;-53
-25;2;-53
-26;2;-53
-26;3;-52
-26;3;-52
-26;3;-52
-26;3;-52
-26;3;-52
-26;4;-53
-26;4;-53
-26;4;-53
-26;4;-53
-27;4;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-53
-27;3;-52
-27;3;-52
-27;3;-52
-27;3;-52
-25;3;-52
-25;4;-54
-25;4;-54
-25;4;-54
-25;4;-54
-26;4;-54
-26;2;-53
-26;2;-53
-26;2;-53
-26;2;-53
-26;2;-53
-26;4;-54
-26;4;-54
